Time,kVARh,kWh,Power_Factor
1,40.98,96.689998,0.920668181818182
2,44.76,108.09,0.923477916666667
3,44.76,114.899999,0.931252166666667
4,43.41,107.099998,0.926762
5,44.34,107.489999,0.92442
6,45.36,117.179998,0.931901583333333
7,41.7,108.179997,0.932839916666667
8,40.41,106.229998,0.934647166666667
9,41.7,110.459996,0.935011583333333
10,39.03,113.009998,0.944884833333333
11,39.93,104.849997,0.934523666666667
12,39.18,104.819999,0.936704416666667
13,40.05,113.939999,0.943105583333333
14,40.26,106.529998,0.935100333333333
15,46.29,106.799997,0.917551166666667
16,44.76,115.829999,0.931723
17,47.67,112.019999,0.919494083333333
18,48.09,109.169998,0.91514975
19,49.68,114.51,0.917107166666667
20,47.49,113.099999,0.921521916666667
21,50.07,109.259999,0.90911975
22,48.24,108.719996,0.914063916666667
23,48.12,119.189999,0.926812833333333
24,53.13,117.899998,0.911727230769231
25,45.33,99.839998,0.910564909090909
26,46.92,108.449997,0.9177375
27,47.1,118.559996,0.929129916666667
28,45.66,108.359998,0.921542333333333
29,170.069994,213.959998,0.782983666666667
30,169.679998,219.689998,0.79112075
31,129.659999,193.289995,0.841668416666667
32,149.879998,217.259994,0.827209333333333
33,163.049996,239.069995,0.826040833333333
34,161.909996,260.279993,0.848876583333333
35,162.329996,252.749994,0.841400666666666
36,162.179994,256.349992,0.8450575
37,162.839998,264.419993,0.851363083333333
38,162.809995,259.979995,0.8472495
39,169.199999,255.929996,0.834160166666667
40,169.349996,246.479993,0.823950916666667
41,162.509996,236.249996,0.823796166666667
42,160.979997,224.789993,0.813010583333333
43,164.459998,220.889994,0.8020705
44,163.739994,226.109997,0.809791583333333
45,92.37,154.979998,0.86100725
46,47.7,113.699998,0.9231055
47,45.99,121.199998,0.934664
48,49.47,118.199998,0.922470307692308
49,41.64,100.019998,0.923198545454545
50,44.91,119.759997,0.935878166666667
51,45.21,110.189999,0.92498725
52,44.07,108.689997,0.9267205
53,44.4,118.319994,0.935838916666667
54,43.86,111.179997,0.9299915
55,42.54,112.649997,0.935484083333333
56,144.299997,205.859997,0.823183083333333
57,157.889997,215.099995,0.80590675
58,156.749996,208.709999,0.7996105
59,159.839995,217.079995,0.80511825
60,159.089996,211.679994,0.79922675
61,160.049997,207.389994,0.791670333333333
62,162.629996,214.079995,0.796043583333333
63,164.339996,212.849992,0.79123375
64,165.509997,208.619995,0.783398333333333
65,165.029996,214.589996,0.792300833333333
66,163.889995,219.599995,0.801084416666667
67,166.409998,216.329994,0.792609083333333
68,163.409996,216.539993,0.79792425
69,92.31,164.129998,0.873022583333333
70,48.87,121.139998,0.928125583333333
71,45.84,118.499998,0.932131583333333
72,49.29,126.299998,0.930706615384616
73,41.58,101.009999,0.924773727272727
74,47.76,115.589997,0.923835666666667
75,47.04,117.239996,0.927295666666667
76,45.51,110.489996,0.924688916666667
77,65.46,130.979999,0.905298583333333
78,163.619995,214.289995,0.794578416666667
79,161.039994,207.149993,0.789491
80,160.799995,223.559996,0.811333166666667
81,162.509995,226.199993,0.812008916666667
82,161.069998,226.169993,0.814546
83,162.059997,241.829991,0.830366
84,161.609997,236.219994,0.825222166666667
85,162.419995,235.709994,0.8233575
86,160.709996,254.849994,0.845612416666667
87,161.819997,252.569993,0.8418165
88,165.449996,247.649997,0.831504583333333
89,166.169997,242.099996,0.824357416666667
90,169.979994,230.249996,0.804491833333333
91,168.959999,218.099995,0.79050175
92,170.699996,210.239997,0.776325916666667
93,170.909997,210.209994,0.77590225
94,170.249997,209.759994,0.776439
95,169.139997,209.519996,0.778106166666667
96,183.299996,226.769994,0.777708153846154
97,154.409998,191.669995,0.778741909090909
98,163.769996,208.499993,0.786412583333333
99,164.249996,208.349995,0.785313333333333
100,164.009999,209.039998,0.78675275
101,164.789999,209.399995,0.785838
102,164.189996,209.039992,0.786411416666667
